Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,3D_Volume_Per_Atom,3D_Density,3D_Crystal_Symmetry
2,7,9,0.89,1.55,1.88,1.4742857142857142,0.586,0.6255555555555555,1.013286188250771,0.0197208065489981,1.715,0.3299999999999998,8.0,-2.4436261250431,0.088181212166666,0.0,13.9980881,mp-1227874,12.163947117468805,6.708757714400395,35.0
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.0239625222715663,1.545,0.01,5.5,-2.49505076912643,0.168152721549985,0.0,4.0101239,mp-1227378,12.765844790840358,7.09059642167849,216.0
2,7,5,0.89,1.55,1.6,1.4742857142857142,0.586,0.677142857142857,1.0004210978497643,0.0448632304117824,1.5750000000000002,0.05,6.0,-2.87396858112643,0.195677998405583,0.0,4.9234599,mp-1516399,12.772079281348823,5.578019625043522,216.0
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293856,0.0209063269045539,1.57,0.06,4.5,-2.90355266008333,0.145619113250019,0.6275,0.0,mp-1522797,13.213685144810523,5.577400067981163,216.0
2,5,6,0.89,1.63,1.7,1.4742857142857142,0.576875,0.562,1.0319834566516202,0.0075529180247898,1.665,0.07,5.5,-2.28422854466666,0.163241989473213,0.0,2.0421198,mp-1518364,13.49713713483763,7.171641215081946,216.0
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485816,0.0329199548885835,1.465,0.27,4.5,-3.00139788966666,0.099896537472227,0.606099999999999,0.0,mp-1517252,14.613956148261224,6.04804118068161,216.0
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.053817022099031,1.435,0.2099999999999999,4.0,-3.028436694,0.198604889944444,0.0,5.02e-05,mp-1517256,13.766191824842494,5.877213147528646,216.0
2,7,10,0.89,1.9,1.91,1.4742857142857142,0.534,0.5714285714285715,1.0408214523609285,0.0191674592044647,1.905,0.01,8.5,-2.44190680425,0.033321185000008,0.0,3.0213158,mp-20286,13.562939991186033,7.5363170003642965,225.0
2,9,5,0.89,1.88,1.5,1.4742857142857142,0.6255555555555555,0.6940000000000001,0.9867214516383628,0.0332290430305824,1.69,0.3799999999999999,7.0,-2.81175282073333,0.073295865250001,1.53279999999999,1.21e-05,mp-1228308,13.046830632378363,7.770556663216545,225.0
2,6,5,0.89,1.66,1.5,1.4742857142857142,0.521,0.6940000000000001,1.012416896101201,0.0861768368188409,1.58,0.1599999999999999,5.5,-3.16791021648333,0.0,2.2009,12.0005588,mp-31630,14.038734552152658,7.139475755789228,194.0
2,8,5,0.89,1.83,1.5,1.4742857142857142,0.6216666666666666,0.6940000000000001,0.987653803648176,0.0351502389073539,1.665,0.33,6.5,-3.00621388623333,0.0,1.86229999999999,0.0,mp-1205671,13.795075583205895,7.311908459717902,225.0
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.04905246552643,0.028530789916667,0.0,4.0000375,mp-1228319,13.888752445059415,7.251747544394725,225.0
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.07083603552643,0.006747219916666,1.18229999999999,16.0003823,mp-1291775,13.925349081272364,7.2326895254365295,62.0
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.06990704402643,0.007676211416667,1.1315,16.0004006,mp-1307944,13.927987368667525,7.231319484446186,1.0
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600812,0.0529411764446367,1.525,0.05,6.0,-3.07142502102643,0.006158234416668,1.1694,8.5e-06,mp-1309882,13.935266969808282,7.227541937759624,139.0
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.0061639613694692,1.685,0.29,6.0,-2.816929195,0.015144188583332,0.0,12.0139767,mp-1228536,13.60909517239455,5.788021084785017,156.0
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.0239625222715663,1.545,0.01,5.5,-2.97172770237643,0.019383723583304,1.15879999999999,0.000225799999999,mp-1228358,13.533491370470859,5.809227214869469,166.0
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.016584089075916,0.022404001447659,1.73,0.2000000000000001,6.5,-2.592685414,0.10079025249999,1.0389,4.9977207,mp-1096782,12.96863919810601,6.113229100473664,225.0
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.016584089075916,0.022404001447659,1.73,0.2000000000000001,6.5,-2.568807841,0.12466782549999,0.6837,19.9996996,mp-1096783,13.350175262070412,5.938518482573833,194.0
2,5,6,0.89,1.63,2.16,1.4742857142857142,0.576875,0.58,1.0272889181046378,0.0015795292994701,1.895,0.5300000000000002,5.5,-2.6755853955,0.083071706249999,0.400299999999999,8e-07,mp-1079477,13.51461104395518,6.358909898089763,225.0
2,9,3,0.89,2.2,1.22,1.4742857142857142,0.625,0.9885,0.9210046081286052,0.1647218759874376,1.71,0.9800000000000002,6.0,-2.76159472999999,0.0,0.0,2.0,mp-15888,15.0924015974179,7.171124745892844,225.0
2,8,3,0.89,2.2,1.22,1.4742857142857142,0.521,0.9885,0.943230963671926,0.2169625245541419,1.71,0.9800000000000002,5.5,-2.831114415,0.0,0.0903,3.0002985,mp-6428,15.104147702590646,6.163484425059196,225.0
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.053817022099031,1.435,0.2099999999999999,4.0,-3.56091773233333,0.004841601999968,2.2161,0.0001906,mp-1078457,14.260746012405335,5.935492498146025,225.0
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.0898912866672603,1.515,0.3699999999999999,5.0,-3.054233885,0.076474615249987,0.0,1.99999939999999,mp-1228086,14.873659896694596,7.208945182365778,225.0
2,5,4,1.0,1.6,1.3,1.155,0.677142857142857,0.72,0.8608988956610052,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.00422916366666,0.181525003263892,0.536699999999999,0.0,mp-1523377,13.794635389284446,6.287088422230129,216.0
2,6,9,1.0,1.66,1.88,1.155,0.521,0.6255555555555555,0.9155618360628428,0.0529857259226402,1.77,0.2199999999999999,7.5,-2.508303185,0.135700244249999,0.0,0.0035364,mp-1048899,11.722019284096628,5.466782045020155,7.0
2,6,8,1.0,1.66,1.83,1.155,0.521,0.6216666666666666,0.9164649096805496,0.0510652688276638,1.745,0.1700000000000001,7.0,-2.73674654549999,0.031413375749995,0.0,13.993967,mp-1043895,11.738116923152583,5.41559758902214,7.0
2,6,6,1.0,1.66,2.16,1.155,0.521,0.58,0.9262536915030344,0.0302486541757249,1.91,0.5000000000000002,6.0,-2.8939462705,0.014054269999999,1.5053,2.0069223,mp-1048863,12.464865319508796,5.633983786058852,7.0
2,6,10,1.0,1.66,1.91,1.155,0.521,0.5714285714285715,0.9282933737238288,0.0259111094666292,1.785,0.25,8.0,-2.54036150849999,0.075222478333326,0.6463,0.0010837,mp-1048901,11.611164356378902,5.515545529410508,7.0
2,6,6,1.0,1.66,1.7,1.155,0.521,0.562,0.9305474248125842,0.0211176924949175,1.68,0.04,6.0,-2.890700132,0.061542932458339,1.85259999999999,2.0028681,mp-1048921,12.585586368726679,6.739692934140853,7.0
2,8,9,1.0,1.83,1.88,1.155,0.6216666666666666,0.6255555555555555,0.8927890420152633,0.0019217570340538,1.855,0.0499999999999998,8.5,-2.399504409,0.047697685833332,0.0,15.9981038,mp-1043894,11.642937667341483,5.5588075179220855,7.0
2,8,6,1.0,1.83,2.16,1.155,0.6216666666666666,0.58,0.9029526823622548,0.0208246563827614,1.995,0.33,7.0,-2.712180774,0.023970996249999,1.21859999999999,14.0000305,mp-1044000,12.626269762845677,5.61258196750145,7.0
2,8,10,1.0,1.83,1.91,1.155,0.6216666666666666,0.5714285714285715,0.9048909267456264,0.02516248284471,1.87,0.0799999999999998,9.0,-2.352552896,0.0,0.0,10.0129448,mp-1043874,11.522620477138805,5.613395899625597,7.0
